counrty,language_code,language,language_type,project
Indian,en,English,official,enwiki
Indian,hi,Hindi,official,hiwiki
Indian,bn,Bengali,national,bnwiki
Indian,ta,Tamil,national,tawiki
Indian,te,Telugu,national,tewiki
Indian,ml,Malayalam,national,mlwiki
Indian,kn,Kannada,national,knwiki
Brazil,pt,Portuguese,official,ptwiki
Ukraine,uk,Ukrainian,official,ukwiki
Mexico,es,Spanish,official,eswiki
Argentina,es,Spanish,official,eswiki
Indonesia,id,Indonesian,official,idwiki
Indonesia,jv,Javanese,national,jvwiki
Indonesia,su,Sundanese,national,suwiki
Indonesia,min,Minangkabau,national,minwiki
Philippines,fi,Filipino,official,fiwiki
Philippines,tl,Tagalog,official,tlwiki
Philippines,en,English,official,enwiki
Philippines,ar,Arabic,national,arwiki
Philippines,ja,Japanese,national,jawiki
Philippines,ko,Korean,national,kowiki
Philippines,zh,Mandarin,national,zhwiki
Philippines,pa,Punjabi,national,pawiki
Philippines,es,Spanish,national,eswiki
Philippines,ta,Tamil,national,tawiki
Colombia,es,Spanish,official,eswiki
Nigeria,en,English,official,enwiki
Nigeria,ha,Hausa,national,hawiki
Nigeria,yo,Yoruba,national,yowiki
Chile,es,Spanish,official,eswiki
South Africa,af,Afrikaans,official,afwiki
South Africa,en,English,official,enwiki
Thailand,th,Thai,official,thwiki
Nepal,ne,Nepali,official,newiki
Bangladesh,en,English,official,enwiki
Ghana,bn,Bengali,official,bnwiki
Peru,es,Spanish,official,eswiki
Peru,qu,Quechua,official,quwiki
Tanzania,en,English,official,enwiki
Ecuador,es,Spanish,official,eswiki
Ecuador,qu,Quechua,official,quwiki
Malaysia,ms,Malay,official,mswiki
Malaysia,en,English,official,enwiki
Malaysia,zh,Mandarin,national,zhwiki
Malaysia,zh-yue,Cantonese,national,zh_yuewiki
Malaysia,ta,Tamil,national,tawiki
Cote d'Ivoire,fr,French,official,frwiki
Kenya,en,English,official,enwiki
Morocco,ar,Arabic,official,arwiki
Pakistan,ur,Urdu,official,urwiki
Pakistan,en,English,official,enwiki
Pakistan,pa,Punjabi,national,pawiki
Pakistan,ps,Pashto,national,pswiki
